Name,Address,Rating,Total Reviews,Latitude,Longitude,Place ID,Image File
Noorani Restaurant ?????? ????????,"Suleman Plaza, Shop # 6-8, Rashid Minhas Road Service Lane, Block 10 Block 10 Gulshan-e-Iqbal, Karachi",4,1797,24.9130395,67.102623,ChIJ6yQnItE4sz4RXi41NSaeCqE,restaurant_images/ChIJ6yQnItE4sz4RXi41NSaeCqE.jpg
Chicken Center,"W472+7WJ, Block 10 Gulshan-e-Iqbal, Karachi",3.5,2,24.9132115,67.1022622,ChIJSck-4BA5sz4RTlu54C5HthY,restaurant_images/ChIJSck-4BA5sz4RTlu54C5HthY.jpg
"Home bakeology pizza,s","E2, Evershine Apartments, Block 10, Karachi",3,1,24.9135404,67.1010982,ChIJyU5P-hQ5sz4RjVTMkht4PYk,restaurant_images/ChIJyU5P-hQ5sz4RjVTMkht4PYk.jpg
"Snack Five BBQ, Fast Food, & Chinese","Evershine Apartments, Karachi",4,208,24.9135404,67.1010982,ChIJPfCmdtE4sz4RSreJoKu4qzI,restaurant_images/ChIJPfCmdtE4sz4RSreJoKu4qzI.jpg
Al-Mustafa Nihari,"W472+CQF, Rashid Minhas Road Service Lane, Block 10 Gulshan-e-Iqbal, Karachi",3.8,185,24.9135749,67.1019165,ChIJg-pnEdE4sz4RstdMAzvJz1A,restaurant_images/ChIJg-pnEdE4sz4RstdMAzvJz1A.jpg
Arab Shawarma,"Suleman Plaza, Rashid Minhas Road, Block 10 Gulshan-e-Iqbal, Karachi",4.2,6,24.9135791,67.1019038,ChIJLUY2cSI5sz4R6YD73LtCr2M,restaurant_images/ChIJLUY2cSI5sz4R6YD73LtCr2M.jpg
Aslam bhai ke bun kebab,"W472+CQV, Rashid Minhas Road, Block 10 Gulshan-e-Iqbal, Karachi",4,1,24.9135836,67.1018977,ChIJEWQ2OAA5sz4RaIq2W1H_bYc,restaurant_images/ChIJEWQ2OAA5sz4RaIq2W1H_bYc.jpg
Spicy Roll Point Fast Food,"Suleman Plaza, Rashid Minhas Road, Block 10 Gulshan-e-Iqbal, Karachi",4.1,125,24.9136061,67.101881,ChIJuw6TEdE4sz4RIwWHsN3kyo8,restaurant_images/ChIJuw6TEdE4sz4RIwWHsN3kyo8.jpg
Al.RAFFAY,"W472+FPC, Rashid Minhas Road Service Lane, Block 10 Gulshan-e-Iqbal, Karachi",,,24.9136847,67.1017622,ChIJoVSrHls5sz4RYOFQnsqS8ak,restaurant_images/ChIJoVSrHls5sz4RYOFQnsqS8ak.jpg
Pizza Master G (Head Office) NIPA,"A2/B, Evershine Apartments, Main Rashid Minhas Road, 10 Block, Gulshan-e-Iqbal, Karachi",4.6,14,24.9137517,67.1011728,ChIJZXGHOQA5sz4RVKuH5AolNNI,restaurant_images/ChIJZXGHOQA5sz4RVKuH5AolNNI.jpg
P&B Potato And Burger,"opp. aladin park, Chase Value Centre, opp. aladin park, Shanti Nagar, Karachi",3.7,10,24.9117137,67.1043256,ChIJ90gBNtc4sz4RRyvb0SMVBco,restaurant_images/ChIJ90gBNtc4sz4RRyvb0SMVBco.jpg
